Region,Country,Country_income_level,Organization_name,Type_of_organization,Organization_description,Sector,URL,City,State_County,Founding_year,Size,Type_of_data_used,Application_Advocacy,Advocacy_description,Application_Product_Service,Product_Service_Description,Application_Organizational_Optimization,Organizational_Optimization_Description,Application_Research,Research_Description,Application_Other,Other_Description
"East Asia & Pacific",Indonesia,"Lower middle income","Publish What You Pay Indonesia",Nonprofit,"Publish What You Pay Indonesia is civil society coalition, work to promote transparency and accountability of extractive resource governance through varied approaches, ranging from government collabor",Governance,http://pwyp-indonesia.org,Jakarta,"Special Capital Region of Jakarta",2007,"11 to 50",,TRUE,"Utilized spatial data generated from ""drone"" ",TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","HERE Maps - Wellington",For-profit,"Powered by our leading location cloud and enriched with dynamic data, maps from HERE are becoming increasingly real time – capturing the changing world like never before. ","Data/information technology",https://company.here.com/here/,Wellington,Wellington,1985,"1 to 10","Public safety, Geospatial/mapping, Geospatial/mapping, Demographics and social, Demographics and social",FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income","지속가능발전소 (Institute for Sustainable Development)",For-profit,"The Institute operates the WHO’S GOOD platform that provides ESG (environmental, social and governance) information about corporations’ sustainability and social responsibility activities by analy","Finance and investment",http://www.whosgood.org,Incheon,,2014,"1 to 10","Manufacturing, Legal, International/global development, Finance, Environment",TRUE,"We use it for the baseline (or rationale) of ",FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",Figure.NZ,Nonprofit,"The first organisation globally to designate _everyone_ as a user of data, and to build the systems, technology, relationships, business model and products that deliver to that standard.","Data/information technology",http://figure.nz,Auckland,,2012,"1 to 10","Government operations, Environment, Economics , Demographics and social, Government operations, Environment, Economics , Demographics and social, Government operations, Government operations, Environment, Environment, Economics , Economics , Demographics and social, Demographics and social",FALSE,,TRUE,"Figure.NZ sources data from other organizatio",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Nest Finder Ltd",For-profit,"Nest Finder provides comprehensive information about all published DOC huts, camp sites and visitor centres, as well as i-SITEs, BBH hostels, YHA hostels, Holiday Parks of NZ and Forest and Bird lodge",Tourism,https://play.google.com/store/apps/details?id=nz.nestfinder,"Lower Hutt",Wellington,2012,"1 to 10",,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",Mogeo,For-profit,"Mogeo is a small Christchurch app development company that specialises in developing innovative mobile technology for local and central government clients. ","Data/information technology",http://www.mogeo.co.nz/,Christchurch,Canterbury,2011,"1 to 10",,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",ThunderMaps,For-profit,"ThunderMaps helps businesses communicate incidents - things like workplace hazards and infrastructure faults. ",Geospatial/mapping,https://thundermaps.com,Wellington,Wellington,2012,"11 to 50","Transportation, Government operations, Geospatial/mapping, Environment, Transportation, Public safety, Government operations, Geospatial/mapping, Geospatial/mapping, Environment, Transportation, Public safety, Public safety, Government operations, Government operations, Geospatial/mapping, Geospatial/mapping, Environment, Environment",FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","ASB Bank",For-profit,"ASB provide financial services and solutions. ","Finance and investment",https://www.asb.co.nz/about-asb/,Auckland,Auckland,0000,1000+,Housing,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","ANZ - Truckometer",For-profit,"ANZ provides a range of banking and financial products and services","Finance and investment",http://www.anz.co.nz/about-us/economic-markets-research/truckometer/,Auckland,Auckland,2015,1000+,Transportation,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income",Nimble,For-profit,"The company's line of business includes providing loans to individuals as well as financing retail sales.","Finance and investment",https://nimble.com.au/,Southport,Queensland,2006,,Finance,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",China,"Upper middle income","Institute of Public and Environmental Affairs",Nonprofit,"The Institute of Public and Environmental Affairs (IPE) is a registered non-profit organization that aims to expand environmental information disclosure to allow communities to fully understand the ha",Environment,http://www.ipe.org.cn,Beijing,Beijing,2006,,Environment,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,GOYOURLIFE,For-profit,"GOYOURLIFE focuses on smart devices, mobile applications, online map services, cloud services and data support.","Consumer services",http://www.goyourlife.com,Taipei,,2015,,Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income","Comtec System",For-profit,"Comtec Systems offers system integration (SI) solutions in South Korea.","Data/information technology",http://www.comtec.com,Seoul,,1996,"201 to 1000","International/global development, Education, Demographics and social, Business, International/global development, Education, Demographics and social, Business, International/global development, Education, Demographics and social, Business",FALSE,,FALSE,,FALSE,,TRUE,"We compare the relationship between education",FALSE,
"East Asia & Pacific",Singapore,"High income",Holmusk,For-profit,"Holmusk is a telehealth platform that uses data (analytics, visualization, prediction, signaling etc.) to tackle chronic diseases and influence positive health outcomes.",Healthcare,https://www.holmusk.com,Singapore,,2015,"11 to 50","Health/healthcare, Geospatial/mapping, Finance, Environment, Economics , Demographics and social, Consumer, Health/healthcare, Geospatial/mapping, Finance, Environment, Economics , Demographics and social, Consumer, Health/healthcare, Geospatial/mapping, Finance, Environment, Economics , Demographics and social, Consumer",FALSE,,TRUE,"products include glycoleap and smart tools th",TRUE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income",Quickmap,For-profit,"Quickmap is a desktop Geographical Information System, bundled with a comprehensive New Zealand wide property database to deliver easy access to Titles, Sales, Aerial Photographs, Survey data and much","Housing/real estate",http://www.quickmap.co.nz/,Wellington,Wellington,1996,,"Housing, Geospatial/mapping",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Resiliency Insights",For-profit,"Resiliency Insights brings together expertise and experience from the planning, management consulting, botanical and horticultural sectors. ",Environment,http://www.yourland.co.nz,Dunedin,Otago,2011,"1 to 10",Environment,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Waka Digital",For-profit,"Waka Digital is an IT firm based delivering IT Consulting, website development, software development, cloud solutions, hardware sales, technical support and a range of creative services. ","Data/information technology",http://www.wakadigital.co.nz/,Tauranga,"Bay Of Plenty",2006,"1 to 10","Geospatial/mapping, Environment",FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",BRANZ,For-profit,"BRANZ is an independent and impartial research, testing, consulting and information company providing resources for the building industry.","Housing/real estate",http://www.branz.co.nz,Porirua,Wellington,1950,"51 to 200",Geospatial/mapping,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","New Zealand MetService",For-profit,"MetService provides comprehensive weather information services.",Weather,http://about.metservice.com,Wellington,Wellington,1992,"51 to 200",Weather,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","OceanFun Publishing",For-profit,"Oceanfun Publishing specializes in the production and supply of high quality graphics, conveying sun, moon, and tide information.",Environment,http://ofu.co.nz/,Kaikoura,Canterbury,2015,,Environment,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","The McGuinness Institute",Nonprofit,"The McGuinness Institute is a non-partisan think tank contributing strategic foresight through evidence-based research and policy analysis.",Governance,http://www.mcguinnessinstitute.org,Wellington,Wellington,2015,"1 to 10",Environment,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Solid Energy",For-profit,"Solid Energy is a state-owned New Zealand coal mining company, and the country’s leading coal producer.",Mining/manufacturing,http://www.coalnz.com/,Christchurch,Canterbury,1987,"201 to 1000","Housing, Geospatial/mapping",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",Geographix,For-profit,"Geographix is a map design studio with clients covering a range of industries and economic sectors.",Geospatial/mapping,http://geographx.co.nz/,Wellington,Wellington,2015,,Geospatial/mapping,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","NZ Retailers Association",Other,"Retail New Zealand assists its members by providing retail advice, member benefit savings, industry information and education,, and are the main retail industry lobby group to government.","Consumer services",http://www.retail.org.nz,Wellington,Wellington,2015,"11 to 50","Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Coriolis Research",For-profit,"Coriolis is a boutique management consulting firm that focuses on food, consumer packaged goods, retailing and foodservice.","Research and consulting",http://www.coriolisresearch.com,Auckland,Auckland,1999,"1 to 10","Economics , Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","First NZ Capital",For-profit,"First NZ Capital is one of New Zealand’s leading finance houses offering share broking, portfolio management, investment banking, financial and economic research services.","Finance and investment",https://www.firstnzcapital.co.nz,Wellington,Wellington,1961,"51 to 200",Finance,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",NZAA,For-profit,"The AA offers vehicle testing services, WoF’s, vehicle repairs and service, driver licensing, driver education, tourism, car loans and business finance, insurances, advocacy, advice and member benef","Transportation and logistics",http://www.aa.co.nz/,Wellington,Wellington,1903,1000+,Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","NZ Traffic",For-profit,"NZ Traffic creates specifically designed traffic management plans and effective traffic management solutions","Transportation and logistics",http://,Auckland,Auckland,2010,"11 to 50",Transportation,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Coffey Geotechnics",For-profit,"Coffey Geotechnics provides geotechnical consultancy throughout the asset lifecycle in the transport and property infrastructure, and energy and resources sectors.",Geospatial/mapping,http://www.coffey.com/,Auckland,Auckland,1959,1000+,Geospatial/mapping,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income",Skedgo,For-profit,"SkedGo produces apps for transport & scheduling to help you individuals save time, money, and the environment","Transportation and logistics",https://skedgo.com/tripgo,Sydney,"New South Wales",2010,"11 to 50",Transportation,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Abley Transportation Consultants",For-profit,"Abley Transportation Consultants designs, develops and implements the plans and infrastructure that allow people to navigate their daily connections smoothly, efficiently, and safely.","Transportation and logistics",http://www.abley.com/,Auckland,Auckland,1996,"11 to 50",Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Boffa Miskell",For-profit,"Boffa Miskell brings together multi-disciplinary teams to help our clients enhance the value and sustainability of our natural, built and social environment. ",Environment,http://www.boffamiskell.co.nz/,Auckland,Auckland,1972,"51 to 200",Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",BERL,For-profit,"BERL is a privately owned New Zealand company providing economic analysis and advice to public and private sector clients.","Finance and investment",http://www.berl.co.nz/,Wellington,Wellington,1957,"1 to 10","Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income",NZIER,For-profit,"NZIER is an independent economic consulting and forecasting organization. ","Finance and investment",http://nzier.org.nz/,Wellington,Wellington,1958,"11 to 50","Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","New Zealand Initiative",Other,"The New Zealand Initiative is a business group and a think tank that is a membership organization, and association of business leaders that is also a research institute.","Business and legal services",http://nzinitiative.org.nz/,Wellington,Wellington,2015,"1 to 10","Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Council of Trade Unions",Other,"The New Zealand Council of Trade Unions (Te Kauae Kaimahi) brings together over 350,000 New Zealand union members in 40 affiliated unions, and is the united voice for working people and their families","Business and legal services",http://union.org.nz,Wellington,Wellington,1987,"11 to 50","Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Business NZ",Other,"The Business NZ family has its roots in four large regional organizations of member businesses that together cover New Zealand entirely.","Business and legal services",http://www.businessnz.org.nz/,Wellington,Wellington,2001,"11 to 50","Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","NZ Herald",For-profit,"The New Zealand Herald is a daily newspaper published in Auckland, New Zealand.","Media and communications",http://www.nzherald.co.nz/,Auckland,Auckland,0000,"201 to 1000",Other,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Pareto Fundrasing",For-profit,"Pareto Fundraising helps nonprofit organizations raise money.","Finance and investment",http://paretofundraising.com/,Wanaka,Otago,2015,"11 to 50",Finance,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Philippines,"Lower middle income","The Affiliated Network for Social Accountability–EAP Foundation",Nonprofit,"The Affiliated Network for Social Accountability–EAP Foundation aims to connect citizens and governments to improve governance.",Education,http://www.ansa-eap.net,Manila,"Metro Manila",2007,"11 to 50",Education,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Philippines,"Lower middle income",Kalibrr,For-profit,"Kalibrr is a recruiting platform that uses assessments to drive faster hiring decisions. ","Business and legal services",http://kalibrr.com,Manila,"Metro Manila",2012,"11 to 50","Economics ",FALSE,,TRUE,"Uses open data to help candidates find jobs a",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Cancer Society",Other,"Cancer Society is dedicated to reducing the incidence of cancer and ensuring the best cancer care for everyone in New Zealand.",Healthcare,https://cancernz.org.nz/,Auckland,Auckland,1929,"51 to 200",Health/healthcare,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Institute of Environmental Science and Research",Nonprofit,"The Institute of Environmental Science and Research works in collaboration with the health and justice systems in New Zealand by providing services in environmental health and forensic science.","Scientific research",http://www.esr.cri.nz/,Porirua,Wellington,1992,"201 to 1000",Health/healthcare,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",Geosystems,For-profit,"Geosystems provides positioning and measurement solutions enabling professionals in engineering, construction, surveying, mapping and asset tracking to be more productive by revolutionizing their work",Geospatial/mapping,http://www.geosystems.co.nz/,Auckland,Auckland,1985,"11 to 50",Geospatial/mapping,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Quotable Value",For-profit,"Quotable Value Limited (QV) is New Zealand’s leading provider of rating and Full Market Valuation’s and comprises a wealth of experience in the valuation industry. ","Housing/real estate",http://qvgroup.qv.co.nz,Wellington,Wellington,1998,"201 to 1000","Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Project Tongariro","Developer group","Project Tongariro was established to promote a wider understanding of the natural processes and human history of Tongariro National Park.",Environment,http://www.tongariro.org.nz/,"Tongariro National Park",Manawatu-Wanganui,1984,"1 to 10",Environment,FALSE,,TRUE,"uses open data to provide an opportunity for ",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Global Survey",For-profit,"Global Survey supplies many survey and construction companies with a total solution for a wide range of applications including earthworks, building, irrigation, drainage, major infrastructure projects",Geospatial/mapping,http://globalsurvey.co.nz/,Auckland,Auckland,2015,"11 to 50",Geospatial/mapping,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","Salvation Army of New Zealand",Nonprofit,"The Salvation Army fights poverty and social and spiritual distress in New Zealand.",Other,http://www.salvationarmy.org.nz,Wellington,Wellington,0000,"1000 ","Public safety",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
